,Country Name,Net-zero Target,GHG,Carbon Capture Requirement,Component 1,Component 2
0,Angola,2030.0,128290000.0,3,-1.640047723731145,0.7523151156553757
1,Argentina,2050.0,398910000.0,14,-0.22153016382510216,-0.4869606339710327
2,Austria,2050.0,69800000.0,24,-0.11936596075611942,-0.5782174276550285
3,Belgium,2050.0,108220000.0,28,0.05290873538890892,-0.5136346903459345
4,Bangladesh,2050.0,237700000.0,33,0.33119265330575215,-0.38448969777554026
5,Canada,2050.0,774290000.0,48,1.2805204017407432,0.09100512873407071
6,Switzerland,2050.0,44260000.0,3,-0.8876848377342743,-0.8125649303969931
7,Chile,2050.0,55330000.0,24,-0.13054697758422773,-0.5868183457253173
8,Democratic Republic of the Congo,2030.0,679570000.0,1,-1.285365563146633,1.0591210344865896
9,Colombia,2050.0,270530000.0,40,0.6060885143397154,-0.2919201207678513
10,Cyprus,2050.0,8290000.0,1,-0.9867726932040993,-0.8548183852200292
11,Czech Republic,2030.0,110770000.0,29,-0.7267671571375769,1.013250430328646
12,Germany,2045.0,720230000.0,51,1.1413653512344788,0.46891479368255923
13,Denmark,2050.0,44060000.0,22,-0.2105490614124315,-0.6143902057773702
14,Ecuador,2050.0,98700000.0,4,-0.8099720110036005,-0.7697694767759121
15,Spain,2050.0,293080000.0,28,0.19575066841199026,-0.4037545442178379
16,Estonia,2050.0,14830000.0,22,-0.23313517902719227,-0.631764416917283
17,Finland,2035.0,58420000.0,24,-0.741129182928498,0.551218017615094
18,France,2050.0,352100000.0,28,0.24135561749249584,-0.3686732598703303
19,Gabon,2000.0,19680000.0,2,-2.985557605626951,2.9497205569568647
20,United Kingdom,2050.0,429130000.0,40,0.7286392585648627,-0.19764882802785289
21,Greece,2050.0,79910000.0,29,0.06668036360362482,-0.5200255511903951
22,Croatia,2050.0,17920000.0,3,-0.9080378427966345,-0.8282213355090456
23,Hungary,2050.0,62480000.0,29,0.053212144991743926,-0.5303858830470038
24,Ireland,2050.0,58680000.0,14,-0.4844270093971174,-0.68919217198446
25,Iceland,2040.0,2770000.0,1,-1.3996845878213384,-0.10063300217112009
26,Italy,2050.0,376190000.0,36,0.5451449104264596,-0.27086220323470744
27,Japan,2050.0,1134450000.0,39,1.2379954950907954,0.2111544407479213
28,South Korea,2050.0,652660000.0,38,0.8300679108278604,-0.085656378273149
29,Lithuania,2050.0,18300000.0,3,-0.9077442155406098,-0.8279954648202614
30,Latvia,2050.0,8930000.0,3,-0.9149844455115405,-0.833564960488444
31,Mexico,2050.0,670840000.0,42,0.9867030920730345,-0.03310422712456899
32,Myanmar,2050.0,242950000.0,8,-0.555922124055625,-0.6422817526403738
33,Norway,2050.0,26980000.0,26,-0.08115939871315082,-0.582796476961781
34,New Zealand,2030.0,72590000.0,29,-0.7562689693350303,0.9905563700713123
35,Pakistan,2050.0,439490000.0,39,0.7009976060194949,-0.20192738524570608
36,Peru,2050.0,190660000.0,11,-0.48938620352554524,-0.6420532318002781
37,Portugal,2050.0,61700000.0,24,-0.12562485752928326,-0.5830320397054322
38,Slovakia,2050.0,37000000.0,24,-0.14471062917090444,-0.5977136344764153
39,Slovenia,2050.0,16810000.0,24,-0.1603115089054929,-0.6097145008094581
40,Sweden,2045.0,29870000.0,24,-0.35454328992381096,-0.2232184558729811
41,Chad,2050.0,105680000.0,2,-0.8758722595095535,-0.7864935998008215
42,United States of America,2050.0,5771000000.0,82,6.353487933321715,3.4158734972281826
43,Yemen,2050.0,25260000.0,6,-0.795425624169799,-0.7925489484262884
44,South Africa,2050.0,562190000.0,42,0.9027488779490607,-0.09768541222041285
45,Zimbabwe,2030.0,117960000.0,6,-1.5410891725094678,0.77748451570966
46,Australia,2050.0,608490000.0,57,1.4732279228143959,0.08638273006792563
47,Azerbaijan,2030.0,52890000.0,11,-1.413134682644342,0.7909896595879565
48,Bulgaria,2050.0,17480000.0,29,0.018440496251948053,-0.5571337277714675
49,Belarus,2030.0,65330000.0,16,-1.2252879595831812,0.8505664800127679
51,Brazil,2050.0,1451630000.0,42,1.5900221058407056,0.43099465470685205
52,Brunei,2030.0,9630000.0,1,-1.803030415518607,0.6609110101597636
53,Algeria,2030.0,282230000.0,18,-0.9863948950802169,1.0003641025246308
54,Egypt,2030.0,351960000.0,36,-0.2908708354053055,1.2296684723760958
55,Equatorial Guinea,2050.0,15240000.0,2,-0.9457555464434899,-0.8402508237314988
56,Indonesia,2060.0,1959710000.0,54,2.8190260790468744,0.10076726718044235
57,India,2070.0,3363590000.0,66,4.740217673166579,0.3030003086356888
58,Iran,2030.0,844140000.0,42,0.30331943014286655,1.584837598895641
59,Iraq,2030.0,321310000.0,16,-1.0274913674851156,1.0027201087365056
60,Israel,2050.0,87260000.0,24,-0.1058745610450792,-0.5678392639019367
61,Kazakhstan,2060.0,271680000.0,53,1.4790328597641313,-0.9130284456281165
63,Sri Lanka,2060.0,37900000.0,22,0.1933376585985674,-1.3755181405236512
64,Morocco,2030.0,91150000.0,24,-0.9201618899309987,0.949405842678909
65,Macedonia,2030.0,11260000.0,1,-1.8017709091309209,0.6618798765353388
66,Mongolia,2030.0,59150000.0,6,-1.5865318538958542,0.7425280546375332
67,Malaysia,2050.0,396110000.0,40,0.7031245954229057,-0.21727580209011485
68,Nigeria,2060.0,354330000.0,10,0.01008186004086903,-1.3126713060264075
69,Netherlands,2050.0,173590000.0,35,0.35294836197827134,-0.40172344961971107
70,Oman,2050.0,100280000.0,14,-0.45228255189543953,-0.6644652755280671
71,Philippines,2030.0,236790000.0,24,-0.8076253805429127,1.0359737561382618
72,Poland,2030.0,320230000.0,51,0.2193141705452239,1.3673558519122144
73,Romania,2050.0,78360000.0,38,0.38630440257753235,-0.42701831661224793
74,Russia,2060.0,1924820000.0,68,3.2911224837639907,0.22613984815038002
75,Saudi Arabia,2060.0,723150000.0,23,0.7584794573636995,-0.9577713995550396
77,Thailand,2065.0,437180000.0,41,1.3834762375190697,-1.3186271083376115
78,Turkmenistan,2030.0,155080000.0,14,-1.2272315555070699,0.8830405593843887
79,Tunisia,2030.0,37810000.0,2,-1.7456087775858677,0.6880976103927464
80,Turkey,2053.0,459860000.0,43,0.9819189792148862,-0.37531344125440197
81,Ukraine,2060.0,221290000.0,49,1.297508905054317,-0.9847261096339179
82,Uzbekistan,2030.0,185390000.0,38,-0.34828630739677496,1.1515328500770685
83,Venezuela,2030.0,299600000.0,14,-1.1155604738209521,0.9689427487083772
84,Vietnam,2050.0,438110000.0,48,1.0207530045553082,-0.10881910325415549
